likes,comments,caption,time
30487,138,#jenniferlawrence,2017-04-24 02:52:50
33946,175,#jenniferlawrence,2017-04-22 03:02:40
41497,156,#jenniferlawrence,2017-04-20 00:58:39
33702,112,#jenniferlawrence,2017-04-18 02:15:52
48673,305,#jenniferlawrence,2017-04-14 04:58:08
32344,114,#jenniferlawrence,2017-04-13 05:19:32
35166,121,#jenniferlawrence,2017-04-10 02:11:03
35959,142,#jenniferlawrence,2017-04-08 04:28:46
33531,95,#jenniferlawrence,2017-04-07 06:51:06
44063,196,#jenniferlawrence,2017-04-02 02:41:02
35691,179,#jenniferlawrence,2017-04-01 10:35:16
38971,134,#jenniferlawrence,2017-03-31 02:10:03
38553,132,#jenniferlawrence,2017-03-26 13:54:21
46236,217,#jenniferlawrence,2017-03-24 04:20:13
51475,165,#jenniferlawrence,2017-03-20 04:06:54
47396,160,#jenniferlawrence,2017-03-17 03:32:10
50515,124,#jenniferlawrence,2017-03-15 03:28:04
66798,333,#jenniferlawrence,2017-03-10 02:49:55
42084,126,#jenniferlawrence,2017-03-08 02:36:37
53486,190,#jenniferlawrence,2017-03-03 02:35:34
50039,273,#jenniferlawrence,2017-02-28 03:35:26
35630,162,#jenniferlawrence,2017-02-25 04:30:37
32492,149,#jenniferlawrence,2017-02-22 02:41:18
46634,253,#jenniferlawrence,2017-02-17 13:04:57
31877,118,#jenniferlawrence,2017-02-15 05:39:41
42664,203,#jenniferlawrence,2017-02-11 08:33:16
35737,164,#jenniferlawrence,2017-02-08 10:41:44
40243,156,#jenniferlawrence,2017-02-07 02:51:55
40101,173,#jenniferlawrence,2017-02-04 11:46:04
36810,117,#jenniferlawrence,2017-02-03 05:08:12
36823,142,#jenniferlawrence 😍,2017-01-31 06:24:37
40961,181,#jenniferlawrence @dior,2017-01-27 09:49:56
39062,192,#jenniferlawrence,2017-01-24 01:57:56
35194,142,#jenniferlawrence,2017-01-21 03:35:36
35820,148,#jenniferlawrence,2017-01-17 03:05:35
32910,126,#jenniferlawrence,2017-01-13 03:17:01
40199,197,#jenniferlawrence,2017-01-09 02:35:29
42382,227,700k 🙌🏽😍 #jenniferlawrence,2017-01-06 04:54:55
17180,74,#jenniferlawrence,2017-01-05 02:22:29
40231,251,#jenniferlawrence,2017-01-02 03:55:15
39292,171,😍 #jenniferlawrence,2016-12-31 04:22:36
41273,264,#jenniferlawrence,2016-12-28 03:26:40
36669,180,#jenniferlawrence,2016-12-25 02:40:34
23847,89,#jenniferlawrence,2016-12-23 12:51:03
29147,122,#jenniferlawrence @prattprattpratt,2016-12-21 04:52:49
28390,137,#jenniferlawrence,2016-12-20 06:16:42
29648,101,#jenniferlawrence,2016-12-19 07:58:11
27436,106,#jenniferlawrence 😍,2016-12-17 12:35:08
27237,100,#jenniferlawrence,2016-12-17 06:59:38
28151,96,#jenniferlawrence 😍,2016-12-16 11:54:46
22444,42,#jenniferlawrence,2016-12-16 03:04:37
29135,61,#Passengers World Premiere in LA #jenniferlawrence,2016-12-15 03:15:42
25730,77,"#jenniferlawrence on Jimmy Kimmel, December 12th.",2016-12-14 01:25:01
28510,129,#jenniferlawrence,2016-12-12 08:44:20
29123,128,#jenniferlawrence,2016-12-10 04:38:04
24233,137,#jenniferlawrence,2016-12-09 06:51:29
23164,161,#jenniferlawrence,2016-12-07 11:38:54
26620,93,#jenniferlawrence#passengersmovie,2016-12-03 05:37:30
23305,95,#jenniferlawrence,2016-12-02 06:18:42
24612,101,#jenniferlawrence #passengersmovie,2016-12-01 16:37:56
26369,173,#thehungergames#jenniferlawrence,2016-11-28 14:06:09
32829,198,#jenniferlawrence,2016-11-27 06:18:36
25128,77,#jenniferlawrence @vanityfair,2016-11-25 07:13:10
25400,58,@vanityfair #jenniferlawrence,2016-11-22 07:54:24
26740,94,#jenniferlawrence,2016-11-20 06:06:58
28576,144,#jenniferlawrence,2016-11-18 07:18:24
28749,138,#jenniferlawrence,2016-11-15 14:49:55
21299,67,#jenniferlawrence,2016-11-13 05:52:28
25628,56,@theellenshow #jenniferlawrence 🙌🏽,2016-11-11 06:45:25
29670,147,#jenniferlawrence #passengersmovie,2016-11-08 10:48:16
20187,47,#jenniferlawrence,2016-11-07 01:28:06
20348,337,[no caption],2016-11-03 15:38:32
22936,82,[no caption],2016-10-30 11:18:47
33175,283,[no caption],2016-10-28 09:50:25
27350,80,New still • #Passengers #jenniferlawrence,2016-10-25 07:11:32
24909,82,#jenniferlawrence,2016-10-22 05:03:25
32735,184,#jenniferlawrence,2016-10-20 06:40:42
16158,30,#jenniferlawrence,2016-10-19 01:14:25
26018,131,#tbt #jenniferlawrence,2016-10-17 13:07:51
22147,82,[no caption],2016-10-15 11:55:26
26315,56,#jenniferlawrence @Dior,2016-10-11 02:18:37
19644,48,#jenniferlawrence,2016-10-07 09:29:30
19452,93,#jenniferlawrence,2016-10-06 03:00:34
17285,58,#jenniferlawrence,2016-10-04 04:31:43
25561,83,#jenniferlawrence,2016-10-01 03:34:42
18598,73,#jenniferlawrence #joshhutcherson 😍,2016-09-29 04:22:31
24496,88,#jenniferlawrence 😍,2016-09-26 01:35:51
25031,86,#jenniferlawrence,2016-09-24 04:05:42
22560,88,#jenniferlawrence,2016-09-23 02:23:01
25474,77,#jenniferlawrence,2016-09-22 01:33:07
24601,106,#jenniferlawrence,2016-09-17 03:15:10
29077,89,#jenniferlawrence,2016-09-15 02:57:24
30470,92,#jenniferlawrence,2016-09-13 00:45:07
20732,253,Never Forget. # 9/11 #twinstowers,2016-09-11 10:58:16
26013,80,#jenniferlawrence @liamhemsworth,2016-09-10 04:29:12
20357,66,#jenniferlawrence,2016-09-08 15:26:03
19819,122,#jenniferlawrence,2016-09-08 06:04:59
23710,67,#jenniferlawrence #joshhutcherson,2016-09-03 02:57:08
29554,122,#jenniferlawrence,2016-08-31 02:31:18
21304,75,#jenniferlawrence,2016-08-28 02:23:21
22684,113,#jenniferlawrence,2016-08-26 03:12:31
