likes,comments,caption,time
4681218,65517,New animal in the building Bugatti Chiron 🎉🎉🎉✌️👌✈️,2017-09-28 13:32:34
2217696,17900,Have you already take part in the #CR7Challenge? Show me your best trick⚽️💪 and don’t forget to nominate 7 of your friends to do the same!,2017-09-27 14:34:36
3123624,15597,👌👌👌,2017-09-27 09:41:39
2930590,11011,Great performance 👌👌👌,2017-09-26 18:14:08
3889723,16737,✈️,2017-09-26 17:10:03
2970294,12146,UCL.  RESPECT✌️,2017-09-26 05:02:19
2994628,12172,"Match day tomorrow. Let’s do this 🙌 #Mercurial #CR7 #NikeFootball 
available on NIke.com/CR7, September 29th.",2017-09-25 14:48:51
3642403,17335,😉,2017-09-25 12:05:11
3280691,10773,✈️ travel,2017-09-25 04:45:20
2358925,18677,Very happy with my new @cr7underwear FW17 collection !  Which is your favorite?,2017-09-24 12:15:54
2604121,8032,Recovery session happy Sunday ✌️💕,2017-09-24 07:26:17
1170786,11813,Unbeatable Performance with 2x the Power! 🤜🏼 🤛🏼 #CLEARMen,2017-09-22 13:33:14
2593456,11987,Let's go equipo👌,2017-09-22 08:50:09
2461815,14209,"Can’t wait to play in these 💎 ! #Mercurial #CR7 #NikeFootball
available on NIke.com/CR7, September 29th.",2017-09-21 13:41:33
2194208,19102,Un abrazo muy fuerte y solidario para Mexico,2017-09-20 04:54:52
1155338,6514,"It’s amazing to deal with a partner that is always achieving balance between its goals of sustainable development, social responsibility and a continuous advancement in the steel industry. @ahmedabohashima @egyptiansteel #A_New_Generation_Of_Steel",2017-09-19 14:30:08
3173110,13569,ready 👌👌👌,2017-09-19 12:19:29
1467880,10182,😉 @cr7underwear,2017-09-18 15:04:33
4678393,46667,✌️👌,2017-09-18 13:19:11
2708265,8619,Always nice to see my great friends 👌👌👌,2017-09-18 06:46:49
3598517,20155,Enjoy your weekend 👌👌👌,2017-09-16 08:34:10
1348169,11863,"Do you want to win a bundle of products from @cristianoronaldo_fragrances ? Show me your best trick, publish it with #CR7Challenge and don’t forget, challenge 7 friends! 😉
I’m nominating @nicorosberg @niallhoran @rorymcilroy @thenotoriousmma @miguelpaixao7 @chrismd10 @realcalfreezy ! My fragrance, your game ⚽️ 👍",2017-09-15 13:30:55
3649914,22109,Bom dia✌️,2017-09-15 04:12:51
3588327,18434,✌️,2017-09-14 09:23:51
3058136,13008,Yes 👌👌👌,2017-09-14 06:09:20
2204047,22338,👌,2017-09-12 15:41:20
3142131,18840,"Number 👆 in @easportsfifa.
Now how many goals can you score with me in the #FIFA18 demo? 🎮 ⚽ @easportsfifa",2017-09-12 15:02:41
2627085,9625,LISTOS👌👌👌,2017-09-12 11:16:44
3437678,19212,👌👌👌,2017-09-12 07:19:42
3019300,18643,Eyes 👀 are the mirror of the soul 👌👌👌,2017-09-11 06:56:49
3668524,22663,Happy Sunday 👌👖👔,2017-09-10 07:20:06
2737390,17132,#LiveLifeFit @cr7crunchfitness 💯💪 #Fitness #Madrid,2017-09-08 14:57:09
2533912,12465,Momentos 👌👌👌,2017-09-08 12:12:22
2732204,17486,"Having fun tonight at the global launch of my first casual fragrance, CR7! 👌🏻⚽ #cr7fragrance #myfragranceyourgame",2017-09-07 16:31:21
1886674,9008,Nothing better than workout with this view 🙏🏼😁 @pestanacr7 #MadeiraIsland #Funchal,2017-09-06 14:42:48
5995089,51983,Arrived 👌👌👌,2017-09-06 06:50:54
2443428,10332,"Sometimes offence needs world class defence… 
I am excited to share with you that I have teamed up with PanzerGlass, who has created cool and unique mobile screen protection for me 👌 
See more at panzerglass.com
@panzerglass #cr7panzerglass #panzerglass #screenprotection",2017-09-05 13:30:39
4424948,25650,Vestido com a minha linha de camisas e calças 👌👌👌🇵🇹,2017-09-05 06:16:05
3054948,14992,Very important victory!💪⚽️,2017-09-03 17:34:13
2955641,11974,💯🇵🇹,2017-09-02 16:51:38
3647811,18632,👌,2017-09-01 13:32:32
2678234,8674,🇵🇹,2017-09-01 09:20:41
2915801,43660,⚽️💪,2017-08-31 18:59:24
3384923,21628,"Focused and ready to let loose 🇵🇹⚽
#playfree #mercurial",2017-08-30 14:00:49
2700144,12642,⚽️🇵🇹👍,2017-08-30 07:15:16
2723898,11037,Nice to be back to the National Team!🇵🇹💪,2017-08-29 07:22:55
1615270,6113,Time to check out @pestanacr7,2017-08-28 13:29:14
7214013,51224,Family mood ❤️❤️❤️❤️,2017-08-27 15:18:58
2871762,9636,✌️🏆,2017-08-27 08:04:08
1011454,7438,⚽🏆 #CLEARMen,2017-08-26 15:22:52
2242607,6984,👌,2017-08-26 13:03:50
3447080,12483,👌👌👌,2017-08-26 10:41:49
2497360,6929,THE MAN🏆,2017-08-26 06:34:55
2862880,9794,O meu irmão já levou os troféus para o museu 🏆🏆ahahahahaha,2017-08-25 18:36:57
2750458,8572,GRACIAS EQUIPO🏆👌🙏🏽✌️❤️,2017-08-25 12:16:58
4050670,21303,👀🏆,2017-08-25 07:55:19
3584192,13172,Team🏆❤️,2017-08-24 15:42:12
5043504,46709,"Thank you to my teammates, coaches and staff who helped me win this trophy again. I dedicate this to my family, friends and fans. This is also yours!",2017-08-24 14:19:52
3620921,13130,✈️,2017-08-24 07:57:28
3483233,46140,🤔,2017-08-24 06:23:45
2975651,11578,🏆,2017-08-23 20:32:42
1012562,6759,"Have you ever related steel to eco-friendly? 
I did.. that’s why I’ve partnered with the most safety-oriented, hi-end quality steel brand #Egyptian_Steel #A_New_Generation_Of_Steel 
@egyptiansteel @ahmedabohashima",2017-08-23 07:41:33
3578919,39120,"Mais uma decisão incompreensível. De injustiça em injustiça, nunca me derrubarão. E como sempre voltarei mais forte. Obrigado a todos os que me têm apoiado.",2017-08-22 14:02:14
4426847,29379,😎👌,2017-08-22 09:40:10
2618169,11820,View👌👌👌👌👌,2017-08-21 11:20:06
2731618,15830,My secret is dedication. 💯 @cr7crunchfitness #LiveLifeFit #Fitness,2017-08-18 13:50:00
3149837,11942,🙏🏽,2017-08-18 05:58:50
4902822,19844,Nao deixes que o mau comportamento de outros afecte a tua tranquilidade mental✌🏼🏆,2017-08-17 13:10:47
4621793,21856,champions Super Cup 👌👌🏆,2017-08-17 05:16:56
3747278,80458,"Impossível ficar imune a esta situação, 5 jogos!! Parece-me exagerado e ridículo, isto chama-se perseguição! Obrigado aos meus companheiros pelo apoio e aos adeptos!!!",2017-08-16 12:19:52
3131458,42904,🤔🤔🤔,2017-08-15 11:27:06
3584470,21345,Great session this morning!!!! Winning team 👌,2017-08-14 08:05:11
4182289,31163,👌,2017-08-14 03:13:06
4499018,43666,Team 👌,2017-08-13 19:48:21
4939284,44328,Blessed❤️️❤️️❤️️,2017-08-12 07:35:49
1339366,6216,I guess I'm going to turn right @pestanacr7,2017-08-11 17:40:26
3208960,15182,"Living in my #CR7Denim jeans👖A big shout out to my fans for the support ✋ Thank you, Obrigado and Gracias! @cr7limitless",2017-08-10 14:01:37
3161835,13128,👌,2017-08-10 07:28:08
3430077,16336,🏆,2017-08-09 07:21:59
4695979,28839,🏆,2017-08-08 19:50:41
2928288,14735,SUPER CUP 🙏🏆🏆🏆🏆,2017-08-08 18:13:09
1543572,10954,Proud to announce that my #CR7Denim Collection is now officially LIVE at CR7.com 👖💪 @cr7limitless,2017-08-07 14:00:53
3587868,19866,Looking good👌,2017-08-07 04:36:57
3978201,20980,COMFORT IS THE NEW LUXURY! 👖Can't wait for the official launch of my #CR7Denim Collection tomorrow!! 💪🏼💪🏼💪🏼 @cr7limitless,2017-08-06 14:00:30
3484455,11540,👌👌🇵🇹,2017-08-06 06:13:10
3305768,19205,Great to be back!👍⚽️,2017-08-05 16:48:09
2582103,16003,"I only choose a shampoo that is best for me, keeping me Dandruff-Free. #CLEARMen",2017-08-05 08:34:43
2901612,13058,Coming soon! #CR7Fragrance #MyFragranceYourGame 🕑😉👌🏼,2017-08-04 14:00:14
1450071,11321,My parents always told me to follow my dreams. That is the advice I live by. What’s yours? #sponsored,2017-08-03 14:05:34
2420303,20690,Smart work👌bom dia 🇵🇹,2017-08-03 04:36:07
3037322,16832,New boots 👌👌,2017-08-02 04:10:42
4505205,24085,❤️️❤️️❤️️,2017-08-01 13:04:01
2886114,19511,"O que incomoda as pessoas é o meu brilho, insetos só atacam lâmpadas que brilham!!!!",2017-08-01 10:31:48
3635215,15177,Hard work and dedication. 🏃🏼💦🇵🇹,2017-08-01 06:28:39
3075531,14783,🏃🏼👌,2017-07-31 13:28:20
1945336,11722,👌💥🇵🇹👑🔥😝,2017-07-30 11:06:22
2151907,10995,"Do you know natural swimming pools in Madeira, from vulcanic origin?? Let's go for a swim?? #madeiraisland #visitmadeira #sea #nature #island @visitmadeira",2017-07-29 12:59:11
3279510,26703,"A lot can happen in 5 years but for some refugee kids, nothing has changed. Don't forget about them. #Zaatari #Syria @savethechildren",2017-07-28 05:05:34
2519152,34003,"It's good to see how fast I'm ""shared"" in the United States 🤣👍🏽 #RonaldoFaster",2017-07-27 14:24:01
1684888,9693,"TB one year ago, at the opening of my first hotel! @pestanacr7",2017-07-25 13:58:00
2343833,12053,Thank you China! I'm deeply moved by your passion for brilliance. See you next time. 再见 ⚽👋🏼🇨🇳 #Playfree #CR7LIVE,2017-07-24 13:00:01
2234311,6884,"China's stars of tomorrow, you've earned this gift. Keep working hard, but remember to play your way. Remember to #playfree #CR7LIVE #Mercurial",2017-07-24 10:00:45
1535046,4906,"Hitting the gym before day 3 in China! Checkout my new workouts in the #NTC app. Try and keep up! 😉💪🏼 #CR7LIVE
http://gonike.me/NTC_CR7",2017-07-24 07:05:37
2421772,9628,Congratulations to the Nike League champions. The future of  football is yours. Work hard and #Playfree #CR7LIVE @nikefootball,2017-07-23 14:57:50
2393159,9259,"你好, China! Day 2. Taking a journey through my #Mercurial past at the Beijing house of brilliance. 🇨🇳⚽",2017-07-23 10:30:21
3077270,13982,Thank you Shanghai! More tomorrow... #CR7LIVE,2017-07-22 16:01:57
2770802,11125,First stop. Seems a few people got here before me. 😜#CR7LIVE,2017-07-22 11:42:21
4001261,16358,Hello China! I'm here for 3 days. Ready for brilliance. 👊  #CR7LIVE #Playfree,2017-07-22 06:01:18
2688919,9512,More than a partner a great friend!👌🔝,2017-07-21 13:23:53
2925275,9953,TEAM!💪🔝👌 #CR7live,2017-07-20 12:52:17
3743209,14608,✈️👌🔝 #nike #CR7live,2017-07-20 04:38:23
2383275,13923,Thrilled to be part of the family @tatelrestaurants @zelarestaurants. Best team @enriqueiglesias @paugasol @rafaelnadal,2017-07-18 11:00:15
2272445,9208,Talking business in my favourite  restaurant #TATELIbiza! Big news coming soon!!,2017-07-17 16:22:29
3862863,31290,Enjoy,2017-07-14 14:55:58
1969255,8650,The feeling of waking up like this @pestanacr7,2017-07-14 14:02:52
2735308,17784,Always look to improve yourself. That’s the key from my point of view. How are you working to better yourself? #TrueToYourStory #sponsored,2017-07-13 13:33:42
5007145,30619,Big family with love ❤❤❤❤❤❤❤❤❤❤,2017-07-12 11:54:03
5285614,35177,Lovely moments😍,2017-07-10 04:37:29
1867523,13636,Shoot like a pro with nubia Z17.,2017-07-09 13:24:13
3736438,21182,Fast on my feet. The Air Zoom Mariah Flyknit Racer is available now at @nikesportswear 💨 #teamnike,2017-07-08 12:57:24
1114230,9010,Going Digital ... 📲👨🏽‍💻 @7egend.cr,2017-07-07 13:32:22
1604542,14238,Being healthy is a lifestyle. It’s not just about training; what you put into your body to perform at your peak is key 🔑 #TrueToYourStory #sponsored @herbalife,2017-07-06 13:32:21
3036566,38281,Getting a bit to much exposure 😃,2017-07-04 14:04:08
5646730,43714,Blessed,2017-07-04 11:45:30
3580242,23012,Good morning👌👀😎🏡,2017-07-04 05:52:34
3548108,26844,Perfect Match Black And White chocolate 👌😝💥💥💥💥💥💥,2017-07-03 13:48:14
2673438,12634,"Todos juntos, dentro e fora de campo. Vamos malta!💪🇵🇹",2017-07-01 18:21:40
3441269,28692,B dia❤️️,2017-07-01 05:48:35
8252042,195502,So happy to be able to hold the two new loves of my life 🙏❤,2017-06-29 13:09:53
2593513,31433,ready for tomorrow🇵🇹👌👍,2017-06-27 06:13:00
2585917,13445,Recover stronger with a combination of carbs and protein to aid in muscle repair. #TrueToYourStory #sponsored,2017-06-26 14:09:31
3076375,36751,Just to share with you this picture! My eyes look green don't know why.....?,2017-06-26 11:55:49
3288775,16521,Kazan 👌,2017-06-26 11:32:29
2007302,10316,Gaming experience of nubia Z17 is amazing.,2017-06-26 07:42:30
2781999,11484,Focused👌🇵🇹,2017-06-26 05:48:30
2960955,16316,🇵🇹🇵🇹🇵🇹,2017-06-25 11:50:55
3374317,12651,😃🇵🇹,2017-06-25 04:21:24
2500759,9506,Semi final well done team 🇵🇹👍👌,2017-06-24 14:29:52
2982296,14066,👀ready 👍,2017-06-23 11:06:20
1621664,6692,Chill and live the Summer in the best spot: @pestanacr7  #PestanaCR7Funchal #PestanaCR7 #TimeToWin | Book Now ► www.pestanacr7.com,2017-06-22 14:53:53
2630527,10999,Arrived SAINT PETERSBURG 👌,2017-06-22 11:12:13
3119629,11417,⚽️,2017-06-22 07:15:48
3073237,14545,MUITO BEM EQUIPA 🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹,2017-06-21 14:34:31
3406353,34360,Let's go to Moscow 👍,2017-06-19 08:39:48
3030893,31149,👍⚽️,2017-06-18 01:48:37
3470123,31560,"New boots. Same goal. 🏆🔝🇵🇹
#Mercurial #Portugal #CR7 #Nike #Football #Soccer",2017-06-17 13:40:07
3345444,30154,"PARABÉNS amor do pai. Estas a ficar um homem. Orgulhoso de ti, em breve estamos juntos. Amo te ❤️️❤️️❤️️❤️️❤️️❤️️❤️️7",2017-06-17 02:28:27
3103399,45263,🇵🇹,2017-06-16 17:15:40
1517545,24873,Excited with my second reveal with #Egyptian_Steel in partnership with @ahmedabohashima ... State of the art steel plants building the future... 👍,2017-06-15 13:34:55
3837861,39022,Sometimes the best answer it's to be quiet 🇵🇹,2017-06-15 06:19:20
2674183,8375,Thanks Kazan 🇵🇹🇵🇹🇵🇹👌👍,2017-06-14 16:15:52
1851346,12125,Com o Smart Home do @MEOInstagram posso controlar a minha casa a partir de qualquer parte do mundo.,2017-06-14 13:35:37
3733397,15292,Proud to represent the National Team🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹😘,2017-06-14 09:03:22
2436461,14209,Bons momentos na companhia de verdadeiros campeões!#terradossonhos,2017-06-14 04:20:42
2339144,12475,Excited…tomorrow is #WorldBloodDonorDay! Be 'also' the one☝️ ! #BETHE1Donor #WorldBloodDonorDay,2017-06-13 14:08:04
2078878,6184,"It isn’t the first time, and hopefully won’t be the last. My homeland, Madeira, is once again nominated for Europe’s Leading Island Destination. I’ve already voted, and you?
Vote here: http://bit.ly/2oqWvqd
@visitmadeira 
#madeiraisland #wta #bestisland #visitmadeira",2017-06-13 08:01:29
4575031,24741,Os quatro mosqueteiros ❤️️👍👌🇵🇹🏡,2017-06-11 16:01:18
5741165,40003,👏❤️️,2017-06-11 10:28:12
4243639,24100,Just relax and enjoy the view🏡👌,2017-06-11 07:00:40
4297461,21234,⚽️,2017-06-10 00:33:08
3184875,13096,Golo⚽️🇵🇹,2017-06-09 17:48:21
1446857,10266,Your body is like a race car 🏎 !! You need to fuel it right to keep performing at your best! #TrueToYourStory #sponsored,2017-06-08 13:32:41
3620186,16322,Momentos 🙏,2017-06-08 08:11:49
